id,created_at,tweet,lang,source,retweet_count,user.favourites_count,user.followers_count,user.name,user.profile_image_url
1319336451453177857,2020-10-22 17:54:56,rt sifill_ldf  guts  must accountability  ,en,Twitter for iPhone,1454,112948,229,Black Pugs 🇺🇸🇺🇸🇺🇸,http://pbs.twimg.com/profile_images/1055246755502190592/iqLlG95m_normal.jpg
1319375278049722369,2020-10-22 20:29:13,rt seanhannity  nancy snaps  pelosi refuses answer questions hunter biden  says   day   ,en,Twitter for Android,10089,20260,72,RAS,http://pbs.twimg.com/profile_images/3262581503/962b0837862e4f69d083fe052e3a17c6_normal.jpeg
1319356521357152259,2020-10-22 19:14:41,no_silenced susanla35976841 instead trashing trump  obama praise biden   lot easier  ,en,Twitter for iPhone,3812,98972,135,stacey m isabella,http://pbs.twimg.com/profile_images/1394639437477384198/JZd1vv2p_normal.jpg
1319359092528500736,2020-10-22 19:24:54,rt johncardillo  realdonaldtrump much evidence side tonight  needs swing hammer softly let weight ,en,Twitter Web App,1319,14763,1789,Karen Brown (she/her),http://pbs.twimg.com/profile_images/1331422654935470082/OeSqBPJq_normal.jpg
1319364243267878912,2020-10-22 19:45:22,rt thomas1774paine  icymi  mike pompeo says release hillary  emails election trump criticizes publicly http ,en,Twitter Web App,3520,66428,971,Mary Zwaan,http://pbs.twimg.com/profile_images/509463978418786305/q553eBBi_normal.jpeg
1319379732316651520,2020-10-22 20:46:55,lynnwilson111 seanhannity yes joe  kamala  hunter rest dems trying impeach trump  ,en,Twitter for iPhone,1226,25608,732,Hiroshi Takenaka,http://pbs.twimg.com/profile_images/3707492003/f05c7bc72fb481924fb814f68db7958f_normal.jpeg
1319350028088070144,2020-10-22 18:48:53,rt joebiden   running proud democrat american president ,en,Twitter for iPhone,1,155,635,Geraldine Russak,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1319385901986959362,2020-10-22 21:11:26,rt kamalaharris  democratic senate colleagues boycotted supreme court nominee committee vote today let  clear  nomi ,en,Twitter for Android,260,21275,21,Dawn,http://pbs.twimg.com/profile_images/1344463998809493504/3zwBkMVt_normal.jpg
1319347529050255360,2020-10-22 18:38:57,rt meidastouch  saw greater economic growth obama  last three years trump  first three  trump sunk econo ,en,Twitter Web App,58,150351,1158,UglyDuckPing,http://pbs.twimg.com/profile_images/1349502872010907648/iqnLl6FV_normal.jpg
1319372832971780096,2020-10-22 20:19:30,rt 1791jtf17  joebiden spent entire career enriching expense americans ,en,Twitter Web App,0,880,46,Doctor Down PHD,http://pbs.twimg.com/profile_images/1354114703698522113/pXyil8Zv_normal.jpg
1319400645963714571,2020-10-22 22:10:01,rt trish_regan  david marcus  emails real  best  joe biden involved sketchy stuff lied  ,en,Twitter Web App,21350,23884,234,Eileen Gergerian,http://pbs.twimg.com/profile_images/1437737364013596672/mxz4_VPL_normal.jpg
1319360937338507270,2020-10-22 19:32:14,big question tonight  debate whether trump act like childish narcissist verbal diarrhea  ,en,Twitter for iPhone,17837,143150,3006,Wednesday Is Fully Vaxxed,http://pbs.twimg.com/profile_images/1225669002682228736/Vwbp3LnQ_normal.jpg
1319384446911512578,2020-10-22 21:05:39,icecube jim crow joe caused dea auctions take black owned property amp  wealth black communities bec  ,en,Twitter Web App,0,40791,2453,Towelie ✨ Link in Bio,http://pbs.twimg.com/profile_images/1410814904198647811/Cy_yw4mb_normal.jpg
1319328284933378049,2020-10-22 17:22:29,joebiden admits would practically prostitute  sell get wants  flashback  biden   wen  ,en,Twitter for iPhone,5367,481559,535,NA4,http://pbs.twimg.com/profile_images/1006965953244958720/7xPnmTUQ_normal.jpg
1319318395133841411,2020-10-22 16:43:11,rt catturd2  trump hardest working president history   keep schedule day ,en,Twitter Web App,1,26229,6093,Keller - The Uniparty is the enemy!,http://pbs.twimg.com/profile_images/1348720511807840256/TdWyMrvl_normal.jpg
1319331649000263680,2020-10-22 17:35:51,want hashtag  worth info  congressional nominee lot discussion thread ,en,Twitter for iPhone,100,1153,1,JKR,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1319311738756648960,2020-10-22 16:16:44,looks like trump administration needs get act together federal lands forests root cause ramp  ,en,Echofon,0,24308,7854,Nevin Martell,http://pbs.twimg.com/profile_images/1234908170247704578/eXXCaSAj_normal.jpg
1319331493794222081,2020-10-22 17:35:14,rt theleoterrell  treasure trove  text messages reveal hunter biden  former business partner told mention joe  ,en,Twitter for iPad,0,268186,3047,🐮Angela 🏳️‍🌈 - Has Gaetz Been Indicted Yet? 😼,http://pbs.twimg.com/profile_images/1461547348719513604/69jS1wwT_normal.jpg
1319400469027000320,2020-10-22 22:09:19,karenpence mike_pence realdonaldtrump prayers families 220000 dead americans,en,Twitter Web App,0,38,15,Leon Smith ,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1319316767383212032,2020-10-22 16:36:43,rt adamparkhomenko  remember cbs reporters whining rude biden ,en,Twitter Web App,0,249,94,cb,http://pbs.twimg.com/profile_images/412385894/images_normal.jpg
1319343157771816960,2020-10-22 18:21:35,maybe asked spinner biden win thinking would mitigate anxiety   vote  ,en,Twitter for iPhone,0,23043,213,AMERICAN TRUMP GIRL ✝️🇺🇸,http://pbs.twimg.com/profile_images/1222186665067843584/W7ZwdqtX_normal.jpg
1319347150715838464,2020-10-22 18:37:27,rt jasonrantz  imagine proud taking stance ,en,Twitter for iPhone,173,87962,1973,Ben There,http://pbs.twimg.com/profile_images/1064863900670337024/3w24wrIt_normal.jpg
1319336333941346310,2020-10-22 17:54:28,rt donaldjtrumpjr  yikes ,en,Twitter for iPhone,1,7583,13754,Casey Nolen,http://pbs.twimg.com/profile_images/1324799345812819969/B2MoNriV_normal.jpg
1319381217091883008,2020-10-22 20:52:49,realdonaldtrump   laughing hard peed pants  thanks laugh donny   ,en,Twitter for iPad,0,1251,95,Jeanne Muenchau,http://pbs.twimg.com/profile_images/505824908337639424/5XztOYwe_normal.jpeg
1319407196912795648,2020-10-22 22:36:03,itsjustdebc reesusp realdonaldtrump yea someone would remaindered  leslie stahl cbs news  ,en,Twitter for Android,192,57893,245,Joseph Fitzsimons,http://pbs.twimg.com/profile_images/774030558137417728/4tITAXEQ_normal.jpg
1319411944714063874,2020-10-22 22:54:55,u say bam  ,en,Twitter for iPhone,0,1810,305,"Oliver P. Archibald,MD,DTM&H",http://pbs.twimg.com/profile_images/1144006889262538755/z2KC8pJp_normal.jpg
1319342302754709508,2020-10-22 18:18:11,well leader joe  big guy  biden joe  knows thing two wires ,en,Twitter for iPhone,188,39445,169,Jennifer Fisher 🏳️‍🌈🎱🏆🧩,http://pbs.twimg.com/profile_images/1435235981003788291/7sqDKwT5_normal.jpg
1319326251140763650,2020-10-22 17:14:24,trump  losing streak pennsylvania  let  finish game  deliver one final loss kick  ,en,Twitter for iPhone,1731,132619,513,🌻Lauri Turner,http://pbs.twimg.com/profile_images/1323667944069566465/3xYhfYT0_normal.jpg
1319346156271325185,2020-10-22 18:33:30,rt kamalaharris  instagram live tonight 6  30pm et mileycyrus  see soon ,en,Twitter for iPhone,0,75928,3240,David Rambo,http://pbs.twimg.com/profile_images/1260976521751060481/d-75n_QC_normal.jpg
1319362837563793409,2020-10-22 19:39:47,rt georgetakei  oh  yes  thank mr president  else fired ready go joebiden  ,en,Twitter for iPad,44,101872,4138,Lorri DC.,http://pbs.twimg.com/profile_images/1345173337903923200/R2wTx8RZ_normal.jpg
1319319510806073345,2020-10-22 16:47:37,rt atensnut  great  deja vu ,en,Twitter for Android,1415,284615,4825,Patricia Mafull,http://pbs.twimg.com/profile_images/1442141707454267392/krblYOmv_normal.jpg
1319352528484651016,2020-10-22 18:58:49,rt freeoromia2020  anyone proud culture  language ethnicity basically labeled ultranationalist  expired gov ,en,Twitter for Android,5119,503127,1330,Nyo 🎃,http://pbs.twimg.com/profile_images/1320031387525808130/CEuyUjsf_normal.jpg
1319304687758249984,2020-10-22 15:48:43,rt projectlincoln  please  share video realdonaldtrump needs focused election tonight  ,en,Twitter for iPhone,0,47295,2182,Shannon O’Hara Pelham,http://pbs.twimg.com/profile_images/1076216071902892033/tClSQjkh_normal.jpg
1319355241662468096,2020-10-22 19:09:36,rt thehill  watch  trump supporters chant  lock  president mentions rep adam schiff ,en,Twitter Web App,0,323,474,ThonyA,http://pbs.twimg.com/profile_images/365595128/ThonyA_normal.jpg
1319383163580207104,2020-10-22 21:00:33,rt nicoleperlroth  breaking  u  administration officials watching russia  fsb penetrate state local systems recent wee ,en,Twitter Web App,0,1402,14,kristen bridges,http://pbs.twimg.com/profile_images/1314174045961633792/j-sDbYtl_normal.jpg
1319402922384478209,2020-10-22 22:19:04,troll master x 9000 realdonaldtrump  ,en,Twitter for Android,0,14628,1606,Dr. Whoa Black Betty Bam A Lam🐱🇺🇸🇨🇱,http://pbs.twimg.com/profile_images/1258384916468957186/rQF0jCmt_normal.jpg
1319342930990084096,2020-10-22 18:20:41,rt dinoswearchux  acosta made fool  trump  main problem  spend much time working solving issues ra ,en,Twitter Web App,195,7388,144111,Josh Shapiro,http://pbs.twimg.com/profile_images/1448258385061761032/U10H8HGs_normal.jpg
1319404728434847745,2020-10-22 22:26:15,rt out5p0ken  realdonaldtrump foxnews obama took yesterday ,en,Twitter for Android,1705,136453,3638,Faralyn Padilla,http://pbs.twimg.com/profile_images/1170827024564228096/RxC4lds5_normal.jpg
1319417456553672704,2020-10-22 23:16:49,rt grumpybirdies  yet let clintonians spox go endlessly russia conspiracies keep telling  democrats ,en,Twitter Web App,1249,66596,1643,jack e haley,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1319391404913684480,2020-10-22 21:33:18,rt ofthefountain3  joke 13 days people            ,en,Twitter for iPhone,1605,12333,544,Ana,http://pbs.twimg.com/profile_images/885702378976157697/vJW0XMop_normal.jpg
1319323499597582338,2020-10-22 17:03:28,simondolan realdonaldtrump stands scum,en,Twitter for Android,3,1834,187,temesgen bogale,http://pbs.twimg.com/profile_images/378800000663996683/e0716a2126e59a246cb14cd86c81b815_normal.jpeg
1319403627358777344,2020-10-22 22:21:52,trump wants control  still uses two hands take drink  hates talked woman  look  ,en,Twitter for iPhone,18962,41762,112,Oki,http://pbs.twimg.com/profile_images/958886164445904897/WKOMvAAB_normal.jpg
1319314443575136257,2020-10-22 16:27:29,hapsburgjaw stutteringjohnm donaldjtrumpjr mercedesschlapp article suggests china favors  ,en,Twitter for Android,16,51768,3685,JS™,http://pbs.twimg.com/profile_images/1356119699730411520/QTtDdO40_normal.jpg
